NumberOfModifiers;CBO;NumberOfLoops;NumberOfLogStatements;MaxNumberOfNestedBlocks;IsConstructor;NumberOfParameters_CK;NumberOfLambdas;NumberOfAnonymousClasses;NumberOfParenthesizedExps;NumberOfAssignments;NumberOfInnerClasses;NumberOfComparisons;NumberOfNumbers;BuggedMethods;WMC_CK;LOCMethod_CK;Returns;NumberOfStringLiterals;NumberOfMathOperations;NumberOfVariables;NumberOfUniqueWords;NumberOfTryCatch;RFC
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;1.0;0.0;0.0;1.0;False;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;2.0;5.0;0.0;0.0;0.0;0.0;8.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10.0;2.0;0.0;0.0;1.0;False;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;False;4.0;12.0;3.0;2.0;0.0;2.0;13.0;0.0;1.0
2.0;1.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;False;1.0;4.0;0.0;1.0;0.0;1.0;9.0;0.0;4.0
1.0;1.0;0.0;1.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;4.0;0.0;2.0;0.0;0.0;8.0;0.0;2.0
1.0;0.0;0.0;1.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;0.0;1.0;0.0;0.0;6.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;0.0;0.0;0.0;1.0;False;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;False;2.0;6.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0
2.0;1.0;0.0;0.0;1.0;False;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;False;2.0;7.0;0.0;0.0;0.0;0.0;5.0;0.0;2.0
2.0;1.0;0.0;0.0;1.0;False;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;False;2.0;7.0;0.0;0.0;0.0;0.0;5.0;0.0;2.0
2.0;4.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;4.0;0.0;2.0;0.0;0.0;9.0;0.0;4.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;1.0;0.0;1.0;0.0;False;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;1.0;5.0;0.0;1.0;0.0;0.0;4.0;0.0;2.0
1.0;2.0;0.0;1.0;1.0;False;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;2.0;9.0;0.0;1.0;0.0;0.0;10.0;0.0;5.0
2.0;0.0;0.0;0.0;0.0;True;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;1.0;3.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;1.0;3.0;0.0;0.0;0.0;0.0;7.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;3.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;1.0;0.0;0.0;0.0;8.0;0.0;2.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;3.0;1.0;0.0;2.0;False;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;False;3.0;13.0;0.0;0.0;0.0;0.0;11.0;0.0;9.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0
1.0;3.0;0.0;0.0;1.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2.0;6.0;2.0;0.0;0.0;0.0;14.0;0.0;3.0
0.0;6.0;0.0;3.0;1.0;False;1.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;False;2.0;17.0;1.0;3.0;0.0;4.0;20.0;0.0;9.0
1.0;2.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;1.0;0.0;0.0;0.0;9.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;1.0;1.0;False;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;False;3.0;7.0;1.0;0.0;0.0;1.0;16.0;0.0;2.0
1.0;3.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;4.0;0.0;3.0;0.0;0.0;8.0;0.0;6.0
8.0;1.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;1.0;1.0;0.0;0.0;8.0;0.0;1.0
2.0;5.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;0.0;1.0;0.0;0.0;11.0;0.0;4.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;0.0;1.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;0.0;1.0;0.0;0.0;3.0;0.0;1.0
1.0;5.0;0.0;0.0;1.0;False;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;False;4.0;10.0;2.0;0.0;0.0;0.0;8.0;0.0;3.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;2.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;0.0;3.0;0.0;0.0;7.0;0.0;5.0
1.0;0.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;1.0;3.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;1.0;3.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0
1.0;0.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;1.0;3.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0
1.0;0.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;1.0;3.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0
1.0;0.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;1.0;3.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0
1.0;0.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;1.0;3.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0
1.0;0.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;1.0;3.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0
1.0;0.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;1.0;3.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0
1.0;0.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;1.0;3.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0
10.0;1.0;1.0;0.0;1.0;False;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;2.0;7.0;1.0;0.0;0.0;1.0;9.0;0.0;4.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;0.0;0.0;0.0;0.0;4.0;0.0;2.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;5.0;0.0;0.0;1.0;False;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;False;5.0;17.0;2.0;1.0;0.0;2.0;10.0;0.0;15.0
0.0;2.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;1.0;0.0;0.0;0.0;5.0;0.0;1.0
0.0;1.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;2.0;3.0;1.0;0.0;0.0;0.0;7.0;0.0;1.0
0.0;1.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;2.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;True;2.0;4.0;1.0;0.0;0.0;1.0;9.0;0.0;3.0
1.0;2.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;True;3.0;4.0;1.0;0.0;0.0;1.0;9.0;0.0;5.0
10.0;1.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;1.0;0.0;0.0;0.0;4.0;0.0;1.0
1.0;2.0;0.0;0.0;1.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2.0;6.0;2.0;0.0;0.0;0.0;6.0;0.0;3.0
1.0;2.0;0.0;0.0;1.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2.0;6.0;2.0;0.0;0.0;0.0;6.0;0.0;3.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;4.0;0.0;0.0;1.0;False;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;2.0;7.0;2.0;0.0;0.0;1.0;13.0;0.0;5.0
1.0;3.0;0.0;0.0;1.0;False;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;True;2.0;9.0;0.0;0.0;0.0;2.0;8.0;0.0;6.0
0.0;6.0;1.0;0.0;2.0;False;1.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;True;4.0;13.0;0.0;0.0;0.0;2.0;17.0;0.0;8.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;4.0;0.0;0.0;1.0;False;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;True;2.0;7.0;2.0;0.0;0.0;1.0;13.0;0.0;5.0
0.0;2.0;0.0;0.0;0.0;False;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;False;2.0;4.0;0.0;0.0;0.0;1.0;9.0;0.0;3.0
1.0;4.0;0.0;0.0;1.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;3.0;6.0;1.0;0.0;0.0;0.0;8.0;0.0;5.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;4.0;0.0;0.0;1.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;3.0;6.0;1.0;0.0;0.0;0.0;8.0;0.0;5.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;3.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;False;1.0;9.0;1.0;0.0;0.0;2.0;7.0;0.0;6.0
1.0;2.0;1.0;0.0;1.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2.0;7.0;0.0;0.0;0.0;0.0;2.0;0.0;6.0
2.0;1.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;2.0;3.0;1.0;0.0;0.0;0.0;8.0;0.0;1.0
8.0;2.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;1.0;0.0;0.0;0.0;9.0;0.0;2.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;1.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;0.0;0.0;0.0;0.0;4.0;0.0;2.0
0.0;3.0;0.0;0.0;1.0;False;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;False;2.0;6.0;0.0;0.0;0.0;1.0;12.0;0.0;3.0
2.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;2.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0
9.0;1.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;1.0;0.0;0.0;0.0;8.0;0.0;0.0
9.0;1.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;1.0;3.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9.0;6.0;0.0;0.0;2.0;False;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;True;5.0;19.0;0.0;0.0;0.0;3.0;12.0;0.0;7.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10.0;1.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;3.0;3.0;1.0;0.0;0.0;0.0;7.0;0.0;2.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;3.0;1.0;0.0;4.0;False;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;False;6.0;16.0;3.0;1.0;0.0;1.0;11.0;0.0;6.0
1.0;1.0;0.0;0.0;0.0;True;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0
10.0;0.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;2.0;3.0;1.0;0.0;0.0;0.0;5.0;0.0;2.0
10.0;0.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;2.0;3.0;1.0;1.0;0.0;0.0;4.0;0.0;1.0
10.0;0.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;2.0;3.0;1.0;0.0;0.0;0.0;5.0;0.0;2.0
1.0;1.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;1.0;3.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9.0;2.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;1.0;0.0;0.0;0.0;6.0;0.0;2.0
12.0;3.0;0.0;0.0;0.0;False;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;False;1.0;4.0;0.0;0.0;0.0;1.0;11.0;0.0;3.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9.0;7.0;0.0;0.0;1.0;False;1.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;True;6.0;20.0;0.0;0.0;0.0;3.0;12.0;0.0;12.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9.0;1.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9.0;2.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;3.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
