NumberOfComparisons;NPathComplexity;NumberOfAnonymousClasses;BooleanExpressionComplexity;NumberOfNumbers;NumberOfUniqueWords;NestedIfElseDepth;NumberOfProtectedMethod;ExecutableStatementCount;ThrowsCount;NCSSForThisFile;NumberOfParameters_CK;NCSSForThisMethod;NumberOfLogStatements;IsConstructor;AnonymousInnerClassLength;CyclomaticComplexity;NumberOfAssignments;NumberOfModifiers;NCSSForThisClass;Returns;NumberOfLoops;ClassDataAbstractionCoupling;NumberOfTryCatch;NestedForDepth;WMC_CK;RFC;FileLength;ClassFanOutComplexity;LOCMethod_CK;NumberOfMathOperations;Maximum Depth;NumberOfVariables;NestedTryDepth;NumberOfParenthesizedExps;NumberOfStringLiterals;NumberOfMethods_Checkstyle;NumberOfPrivateMethod;MaxNumberOfNestedBlocks;NumberOfInnerClasses;NumberOfLambdas;CBO;NumberOfPackageMethod;NumberOfPublicMethods_Checkstyle;BuggedMethods;MethodLength
0.0;0.0;0.0;0.0;5.0;40.0;0.0;0.0;25.0;1.0;0.0;0.0;26.0;0.0;False;0.0;1.0;11.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;13.0;0.0;0.0;27.0;2.0;2.0;11.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;False;41.0
0.0;0.0;0.0;0.0;2.0;23.0;0.0;0.0;8.0;1.0;0.0;0.0;9.0;0.0;False;0.0;1.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0;0.0;0.0;10.0;0.0;2.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;False;15.0
0.0;0.0;0.0;0.0;2.0;24.0;0.0;0.0;8.0;1.0;0.0;0.0;9.0;0.0;False;0.0;1.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0;0.0;0.0;10.0;0.0;2.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;False;15.0
0.0;0.0;0.0;0.0;2.0;23.0;0.0;0.0;8.0;1.0;0.0;0.0;9.0;0.0;False;0.0;1.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0;0.0;0.0;10.0;0.0;2.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;False;15.0
0.0;0.0;0.0;0.0;2.0;24.0;0.0;0.0;8.0;1.0;0.0;0.0;9.0;0.0;False;0.0;1.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0;0.0;0.0;10.0;0.0;2.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;False;15.0
0.0;0.0;0.0;0.0;4.0;34.0;0.0;0.0;18.0;1.0;0.0;0.0;19.0;0.0;False;0.0;1.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12.0;0.0;0.0;20.0;0.0;2.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;False;27.0
0.0;0.0;0.0;0.0;4.0;34.0;0.0;0.0;18.0;1.0;0.0;0.0;19.0;0.0;False;0.0;1.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12.0;0.0;0.0;20.0;0.0;2.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;False;27.0
0.0;0.0;0.0;0.0;1.0;19.0;0.0;0.0;6.0;1.0;0.0;0.0;7.0;0.0;False;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;8.0;0.0;2.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;False;13.0
0.0;0.0;0.0;0.0;1.0;23.0;0.0;0.0;6.0;1.0;0.0;0.0;7.0;0.0;False;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;8.0;0.0;2.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;False;13.0
0.0;0.0;0.0;0.0;1.0;20.0;0.0;0.0;6.0;1.0;0.0;0.0;7.0;0.0;False;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;8.0;0.0;2.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;False;13.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.0;1.0;0.0;0.0;0.0;12.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;False;0.0;1.0;0.0;9.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;False;3.0
2.0;3.0;0.0;0.0;0.0;45.0;1.0;0.0;6.0;0.0;0.0;1.0;8.0;0.0;False;0.0;3.0;3.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;5.0;0.0;0.0;11.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0;False;16.0
2.0;3.0;0.0;0.0;0.0;35.0;1.0;0.0;6.0;0.0;0.0;1.0;9.0;0.0;False;0.0;3.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;14.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;False;19.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;1.0;1.0;46.0;1.0;2.0;0.0;False;0.0;1.0;0.0;1.0;35.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;174.0;9.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;False;3.0
0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;2.0;1.0;0.0;1.0;3.0;0.0;False;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;False;4.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;2.0;0.0;0.0;1.0;3.0;0.0;False;0.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;False;4.0
0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;3.0;0.0;0.0;1.0;4.0;0.0;False;0.0;1.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;False;6.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.0;1.0;0.0;0.0;0.0;8.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;3.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;False;6.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;False;3.0
0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;2.0;0.0;0.0;0.0;3.0;0.0;False;0.0;1.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;4.0
0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;False;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;3.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.0;2.0;0.0;0.0;0.0;9.0;0.0;0.0;4.0;0.0;0.0;0.0;5.0;0.0;False;0.0;2.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;7.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;False;10.0
1.0;10000.0;0.0;0.0;3.0;5.0;1.0;0.0;37.0;0.0;0.0;0.0;61.0;0.0;False;0.0;17.0;29.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;2.0;0.0;0.0;91.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;False;137.0
0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;2.0;0.0;0.0;2.0;3.0;0.0;True;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;False;4.0
0.0;1.0;0.0;0.0;0.0;19.0;0.0;0.0;9.0;0.0;0.0;1.0;10.0;0.0;False;0.0;1.0;2.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;7.0;0.0;0.0;11.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;False;13.0
0.0;0.0;0.0;0.0;23.0;30.0;0.0;0.0;36.0;0.0;0.0;1.0;37.0;0.0;False;0.0;1.0;30.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;38.0;0.0;0.0;2.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;False;46.0
0.0;0.0;0.0;0.0;3.0;17.0;0.0;0.0;4.0;0.0;0.0;1.0;5.0;0.0;False;0.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;6.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;False;6.0
0.0;1.0;0.0;0.0;0.0;13.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;3.0
0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;2.0;0.0;0.0;0.0;3.0;0.0;False;0.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;False;4.0
15.0;0.0;0.0;1.0;13.0;11.0;0.0;0.0;15.0;0.0;0.0;0.0;16.0;0.0;False;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;2.0;0.0;0.0;17.0;0.0;2.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;False;17.0
0.0;0.0;0.0;1.0;0.0;8.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;False;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;3.0
2.0;14.0;0.0;0.0;2.0;23.0;2.0;3.0;24.0;0.0;220.0;1.0;32.0;0.0;False;72.0;10.0;3.0;1.0;204.0;0.0;3.0;4.0;0.0;0.0;10.0;6.0;502.0;12.0;42.0;0.0;0.0;3.0;0.0;0.0;0.0;10.0;6.0;4.0;0.0;0.0;3.0;0.0;1.0;False;69.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
1.0;2.0;0.0;0.0;0.0;17.0;0.0;4.0;3.0;0.0;210.0;2.0;4.0;0.0;True;0.0;1.0;1.0;1.0;179.0;0.0;0.0;11.0;0.0;0.0;2.0;2.0;529.0;22.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;9.0;1.0;0.0;0.0;3.0;0.0;1.0;False;5.0
0.0;2.0;0.0;0.0;0.0;14.0;0.0;0.0;5.0;0.0;0.0;1.0;6.0;0.0;False;0.0;2.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;False;11.0
0.0;0.0;0.0;0.0;13.0;24.0;0.0;0.0;14.0;0.0;0.0;1.0;15.0;4.0;False;0.0;1.0;7.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;0.0;16.0;1.0;0.0;1.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;False;34.0
0.0;2.0;0.0;0.0;0.0;26.0;0.0;0.0;9.0;0.0;0.0;1.0;11.0;0.0;False;0.0;2.0;3.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;8.0;0.0;0.0;13.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;False;19.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
1.0;2.0;0.0;0.0;0.0;27.0;0.0;0.0;4.0;0.0;0.0;0.0;6.0;0.0;False;0.0;2.0;1.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;9.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;False;12.0
0.0;4.0;0.0;1.0;0.0;17.0;0.0;0.0;4.0;0.0;0.0;1.0;8.0;0.0;False;0.0;4.0;1.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0;4.0;2.0;0.0;0.0;10.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;False;14.0
0.0;1.0;0.0;0.0;0.0;13.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;False;3.0
0.0;3.0;0.0;0.0;0.0;20.0;1.0;0.0;5.0;0.0;0.0;0.0;7.0;0.0;False;0.0;3.0;2.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;10.0;0.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;False;15.0
0.0;2.0;0.0;0.0;0.0;8.0;0.0;0.0;3.0;0.0;0.0;1.0;5.0;0.0;False;13.0;2.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;7.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;False;10.0
1.0;1.0;0.0;1.0;1.0;10.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;False;0.0;2.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;False;3.0
0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;False;6.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;False;3.0
1.0;2.0;0.0;0.0;0.0;6.0;0.0;0.0;4.0;0.0;0.0;0.0;6.0;0.0;False;0.0;2.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;9.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;False;13.0
0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;False;6.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;False;3.0
1.0;6.0;0.0;0.0;0.0;13.0;0.0;0.0;11.0;0.0;0.0;0.0;14.0;0.0;False;0.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;10.0;0.0;0.0;18.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;False;26.0
2.0;27.0;0.0;1.0;0.0;18.0;0.0;0.0;22.0;0.0;0.0;0.0;26.0;0.0;False;0.0;7.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;16.0;0.0;0.0;31.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;False;42.0
0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;False;6.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;False;3.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;11.0;0.0;0.0;0.0;12.0;0.0;False;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;13.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;13.0
0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;2.0;0.0;0.0;1.0;3.0;0.0;False;0.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;False;4.0
0.0;1.0;0.0;0.0;0.0;18.0;0.0;0.0;9.0;0.0;0.0;1.0;10.0;0.0;False;0.0;1.0;2.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;7.0;0.0;0.0;11.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;False;15.0
0.0;0.0;0.0;0.0;3.0;13.0;0.0;0.0;3.0;0.0;0.0;1.0;4.0;0.0;False;0.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;5.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;False;5.0
0.0;0.0;0.0;0.0;20.0;21.0;0.0;0.0;17.0;0.0;0.0;1.0;18.0;0.0;False;0.0;1.0;13.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;19.0;0.0;0.0;4.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;False;22.0
0.0;1.0;0.0;0.0;1.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;3.0
0.0;1.0;0.0;0.0;0.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;3.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;11.0;0.0;0.0;0.0;12.0;0.0;False;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;13.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;13.0
0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;9.0;0.0;0.0;0.0;10.0;0.0;False;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;11.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;11.0
